№,採取日（購入日）Ｓａｍｐｌｉｎｇｄａｔｅ,結果判明日Ｒｅｓｕｌｔｓｏｂｔａｉｎｅｄｄａｔｅ,生産者・製造者・販売者・輸入者等の別Ｆａｒｍｅｒ／Ｍａｎｕｆａｃｔｕｒｅｒ／Ｓｅｌｌｅｒ／Ｉｍｐｏｒｔｅｒ,左記の所在地Ｌｏｃａｔｉｏｎ,品目（Ｉｔｅｍｎａｍｅ）,食品分類Ｃｌａｓｓｉｆｉｃａｔｉｏｎ,食品カテゴリＣａｔｅｇｏｒｙ,検査機器Ｉｎｓｐｅｃｔｉｏｎｉｎｓｔｒｕｍｅｎｔ,検査結果：セシウム－１３４（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３４,検査結果：セシウム－１３７（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３７,検査結果：セシウム合計（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ(ｔｏｔａｌ),備考Ｎｏｔｅｓ
705,2013/10/21,2013/10/25,販売者　　　　Seller,東京都Tokyo,白もも・シラップづけ,その他の果実加工品Other fruit processed product,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25) ND,―
706,2013/10/21,2013/10/25,製造者Manufacturer,兵庫県Hyogo,スープ,その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
707,2013/10/21,2013/10/25,製造者Manufacturer,栃木県Tochigi,そう菜,その他の農産物加工品Other processed farm product,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25) ND,―
708,2013/10/21,2013/10/25,販売者　　　　Seller,東京都Tokyo,野菜・果実ミックスジュース,その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
709,2013/10/21,2013/10/25,製造者Manufacturer,長野県Nagano,ブルーベリージャム,その他の果実加工品Other fruit processed product,一般食品　General foods,Ge,検出せず(<3)ND,検出せず(<3)　 ND,検出せず(<6) ND,―
710,2013/10/21,2013/10/25,販売者　　　　Seller,東京都Tokyo,フルーツスプレッド(ブルーベリー),その他の果実加工品Other fruit processed product,一般食品　General foods,Ge,検出せず(<4)ND,検出せず(<4)ND,検出せず(<8) ND,―
711,2013/10/21,2013/10/25,販売者　　　　Seller,東京都Tokyo,ブルーベリージャム,その他の果実加工品Other fruit processed product,一般食品　General foods,Ge,検出せず(<4)ND,検出せず(<4)ND,検出せず(<8) ND,―
712,2013/10/21,2013/10/25,製造者Manufacturer,兵庫県Hyogo,ブルーベリージャム,その他の果実加工品Other fruit processed product,一般食品　General foods,Ge,検出せず(<4) ND,検出せず(<3)ND,検出せず(<7) ND,―
713,2013/10/21,2013/10/25,製造者Manufacturer,東京都Tokyo,ブルーベリージャム(プレザーブスタイル),その他の果実加工品Other fruit processed product,一般食品　General foods,Ge,検出せず(<3)ND,検出せず(<4)ND,検出せず(<7) ND,―
714,2013/10/21,2013/10/25,輸入者　　　Importer,東京都Tokyo,冷凍インゲン,冷凍野菜Frozen vegetable,一般食品　General foods,NaI,検出せず(<12) ND,検出せず(<11) ND,検出せず(<25) ND,原産国：フランスCountry of origin：France
715,2013/10/21,2013/10/25,輸入者　　　Importer,東京都Tokyo,冷凍食品　メキャベツ,加熱後摂取冷凍食品(凍結前未加熱)Frozen food to be consumed after heating,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,原産国：フランスCountry of origin：France
716,2013/10/21,2013/10/25,輸入者　　　Importer,東京都Tokyo,冷凍ブルーベリーホール,冷凍果実Frozen fruit,一般食品　General foods,Ge,検出せず(<5)ND,190,190,原産国：セルビアCountry of origin：Serbia※輸入者が自主回収していますImporter issues a voluntary recall.
717,2013/10/21,2013/10/25,輸入者　　　Importer,東京都Tokyo,冷凍フランボワーズ(ラズベリー)ホール,冷凍果実Frozen fruit,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,原産国：セルビアCountry of origin：Serbia
718,2013/10/21,2013/10/25,輸入者　　　Importer,東京都Tokyo,鴨肉,食鳥肉Poultry meat,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,原産国：フランスCountry of origin：France
719,2013/10/21,2013/10/25,販売者　　　　Seller,東京都Tokyo,雛鶏肉(加熱用),食鳥肉Poultry meat,一般食品　General foods,NaI,検出せず(<12) ND,検出せず(<11)　 ND,検出せず(<25) ND,原産国：フランスCountry of origin：France
720,2013/10/21,2013/10/25,販売者　　　　Seller,東京都Tokyo,鴨肉(加熱用),食鳥肉Poultry meat,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11)ND,検出せず(<25) ND,原産国：フランスCountry of origin：France
721,2013/10/21,2013/10/25,販売者　　　　Seller,東京都Tokyo,鴨肉(加熱用),食鳥肉Poultry meat,一般食品　General foods,NaI,検出せず(<12) ND,検出せず(<11)ND,検出せず(<25) ND,原産国：フランスCountry of origin：France
722,2013/10/21,2013/10/25,販売者　　　　Seller,東京都Tokyo,パンタード(ホロホロ鳥),食鳥肉Poultry meat,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10)ND,検出せず(<25) ND,原産国：フランスCountry of origin：France
723,2013/10/21,2013/10/25,輸入者　　　Importer,東京都Tokyo,フルーツスプレッド(ブルーベリー),その他の果実加工品Other fruit processed product,一般食品　General foods,Ge,検出せず(<4)ND,検出せず(<3)ND,検出せず(<7) ND,原産国：フランスCountry of origin：France
724,2013/10/21,2013/10/25,輸入者　　　Importer,東京都Tokyo,ブルーベリージャム(プレザーブスタイル),その他の果実加工品Other fruit processed product,一般食品　General foods,Ge,検出せず(<4)ND,検出せず(<3)ND,検出せず(<7) ND,原産国：フランスCountry of origin：France
725,2013/10/21,2013/10/25,輸入者　　　Importer,東京都Tokyo,ブルーベリージャム,その他の果実加工品Other fruit processed product,一般食品　General foods,Ge,検出せず(<4)ND,28,28,原産国：ドイツCountry of origin：Germany
726,2013/10/21,2013/10/25,輸入者　　　Importer,東京都Tokyo,ブルーベリージャム,その他の果実加工品Other fruit processed product,一般食品　General foods,Ge,検出せず(<5)ND,検出せず(<5)ND,検出せず(<10) ND,原産国：オーストリアCountry of origin：Austria
727,2013/10/21,2013/10/25,輸入者　　　Importer,東京都Tokyo,ジャムブルーベリー(プレザーブスタイル),その他の果実加工品Other fruit processed product,一般食品　General foods,Ge,検出せず(<3)ND,検出せず(<3)ND,検出せず(<6) ND,原産国：フランスCountry of origin：France
728,2013/10/21,2013/10/25,輸入者　　　Importer,東京都Tokyo,ブルーベリージャム,その他の果実加工品Other fruit processed product,一般食品　General foods,Ge,検出せず(<4)ND,検出せず(<4)ND,検出せず(<8) ND,原産国：フランスCountry of origin：France
729,2013/10/24,2013/10/25,採取地　　Sampling point,北海道Hokkaidou,ほっけ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)　 ND,検出せず(<25) ND,―
730,2013/10/24,2013/10/25,採取地　　Sampling point,"北海道、青森県沖太平洋　Hokkaidou,Aomorioki Taiheiyo",さんま,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25) ND,―
731,2013/10/24,2013/10/25,採取地　　Sampling point,北海道Hokkaidou,黒かれい,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25) ND,―
732,2013/10/24,2013/10/25,採取地　　Sampling point,北海道Hokkaidou,生真たら,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10)ND,検出せず(<25) ND,―
733,2013/10/24,2013/10/25,採取地　　Sampling point,北海道Hokkaidou,秋さけ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25) ND,―
734,2013/10/24,2013/10/25,製造者Manufacturer,山形県Yamagata,味付めんま,その他のつけ物Pickled vegetable,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
735,2013/10/24,2013/10/25,製造者Manufacturer,埼玉県Saitama,油菓子,"その他の菓子・製菓材料Other confection, confectionary material",一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
736,2013/10/24,2013/10/25,製造者Manufacturer,栃木県Tochigi,味付たまご,卵加工品Egg product,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<8)ND,検出せず(<25) ND,―
737,2013/10/24,2013/10/25,製造者Manufacturer,千葉県Chiba,菓子,"その他の菓子・製菓材料Other confection, confectionary material",一般食品　General foods,NaI,検出せず(<8)ND,検出せず(<8)ND,検出せず(<25) ND,―
738,2013/10/24,2013/10/25,製造者Manufacturer,千葉県Chiba,和生菓子,和生菓子Japanese type fresh sweets,一般食品　General foods,NaI,検出せず(<8)ND,検出せず(<7)ND,検出せず(<25) ND,―
739,2013/10/28,2013/11/1,生産・出荷者Farmer,埼玉県Saitama,サトイモ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25) ND,―
740,2013/10/28,2013/11/1,生産・出荷者Farmer,北海道Hokkaidou,シイタケ,その他の生鮮野菜(きのこ類)Fungi,一般食品　General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25) ND,―
741,2013/10/28,2013/11/1,生産・出荷者Farmer,長野県Nagano,エリンギ,その他の生鮮野菜(きのこ類)Fungi,一般食品　General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25) ND,―
742,2013/10/28,2013/11/1,生産・出荷者Farmer,新潟県Niigata,マイタケ,その他の生鮮野菜(きのこ類)Fungi,一般食品　General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25) ND,―
743,2013/10/28,2013/11/1,生産・出荷者Farmer,山形県Yamagata,ナメコ,その他の生鮮野菜(きのこ類)Fungi,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25) ND,―
744,2013/10/28,2013/11/1,販売者　　　　Seller,千葉県Chiba,さばみそ煮,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<10)　 ND,検出せず(<25) ND,―
745,2013/10/28,2013/11/1,販売者　　　　Seller,東京都Tokyo,さば味噌煮,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
746,2013/10/28,2013/11/1,販売者　　　　Seller,東京都Tokyo,さば水煮,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,一般食品　General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25) ND,―
747,2013/10/28,2013/11/1,販売者　　　　Seller,東京都Tokyo,さけフレーク味付,加熱済みそうざいReady to eat food,一般食品　General foods,NaI,検出せず(<12) ND,検出せず(<11)ND,検出せず(<25) ND,―
748,2013/10/28,2013/11/1,製造者Manufacturer,北海道Hokkaidou,魚介乾製品,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25) ND,―
749,2013/11/5,2013/11/7,販売者　　　　Seller,東京都Tokyo,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水　   Drinking water,Ge,検出せず(<0.6)ND,検出せず(<0.5)ND,検出せず(<1.1) ND,―
750,2013/11/5,2013/11/7,販売者　　　　Seller,東京都Tokyo,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水　   Drinking water,Ge,検出せず(<0.7)ND,検出せず(<0.5)ND,検出せず(<1.2) ND,―
751,2013/11/5,2013/11/7,販売者　　　　Seller,東京都Tokyo,緑茶(清涼飲料水),その他の清涼飲料水Other soft drink beverages,飲料水　   Drinking water,Ge,検出せず(<0.2)ND,検出せず(<0.5)ND,検出せず(<0.7) ND,―
752,2013/11/5,2013/11/7,生産・出荷者Farmer,茨城県Ibaraki,ニラ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25) ND,―
753,2013/11/5,2013/11/7,生産・出荷者Farmer,茨城県Ibaraki,ハクサイ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25) ND,―
754,2013/11/5,2013/11/7,生産・出荷者Farmer,群馬県Gunma,キュウリ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)　 ND,検出せず(<25) ND,―
755,2013/11/5,2013/11/7,生産・出荷者Farmer,茨城県Ibaraki,トマト,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25) ND,―
756,2013/11/5,2013/11/7,生産・出荷者Farmer,千葉県Chiba,ダイコン,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25) ND,―
757,2013/11/5,2013/11/7,生産・出荷者Farmer,茨城県Ibaraki,レンコン,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<12) ND,検出せず(<11)ND,検出せず(<25) ND,―
758,2013/11/5,2013/11/7,生産・出荷者Farmer,福島県Fukushima,ナシ,その他の生鮮果実Other fresh fruit,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
759,2013/11/5,2013/11/7,製造者Manufacturer,千葉県Chiba,チルドハンバーグ(チキン),加熱食肉製品（包装後加熱）Heated meat products (sterilized after being packed in package),一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25) ND,―
760,2013/11/5,2013/11/7,販売者　　　　Seller,大阪府Osaka,そうざい,加熱済みそうざいReady to eat food,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
761,2013/11/5,2013/11/7,製造者Manufacturer,静岡県Shizuoka,食肉製品(肉だんご),加熱食肉製品（加熱後包装）Heated meat products (packed in package after being heat-sterilized),一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25) ND,―
762,2013/11/5,2013/11/7,加工者　Processor,東京都Tokyo,国産豚白もつ(ボイル済),その他の動物性食品Other food of animal origin,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
763,2013/11/5,2013/11/7,製造者Manufacturer,東京都Tokyo,乳飲料,乳飲料Milk drink,牛乳　　  　 　 　Milk,Ge,検出せず(<0.7)ND,検出せず(<0.6)ND,検出せず(<1.3) ND,―
764,2013/11/5,2013/11/7,製造者Manufacturer,茨城県Ibaraki,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.4)ND,検出せず(0.7)　 ND,検出せず(<1.1) ND,―
765,2013/11/5,2013/11/7,製造者Manufacturer,埼玉県Saitama,乳飲料,乳飲料Milk drink,牛乳　　  　 　 　Milk,Ge,検出せず(<0.6)ND,検出せず(<1.0)ND,検出せず(<1.6) ND,―
766,2013/11/5,2013/11/7,製造者Manufacturer,栃木県Tochigi,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.8)ND,検出せず(<0.9)ND,検出せず(<1.7) ND,―
767,2013/11/5,2013/11/7,製造者Manufacturer,神奈川県Kanagawa,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.6) ND,検出せず(<0.5)ND,検出せず(<1.1) ND,―
768,2013/11/5,2013/11/7,製造者Manufacturer,神奈川県Kanagawa,成分調整牛乳,成分調整牛乳Composition modified milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.8)ND,検出せず(<0.8)ND,検出せず(<1.6) ND,―
769,2013/11/7,2013/11/8,製造者Manufacturer,群馬県Gunma,もめん豆腐,豆腐Soybean curd (tofu),一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
770,2013/11/7,2013/11/8,販売者　　　　Seller,東京都Tokyo,きな粉,豆類の加工品Bean product,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25) ND,―
771,2013/11/7,2013/11/8,製造者Manufacturer,福島県Fukushima,そうめん,その他のめん類Other noodle,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25) ND,―
772,2013/11/7,2013/11/8,製造者Manufacturer,長野県Nagano,えのきたけ・味付,その他の農作物加工品(きのこ類)Other processed fungi product,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25) ND,―
773,2013/11/7,2013/11/8,販売者　　　　Seller,群馬県Gunma,しらたき,その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25) ND,―
774,2013/11/7,2013/11/8,採取地　　Sampling point,青森県Aomori,スルメイカ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)　 ND,検出せず(<25) ND,―
